model_id,itemName,collection,subCategory,queue_status,mapping_status,mapping_confidence,source_terminal_folder,source_image_files,source_file_count,proposed_project_image_path,destination_file_count,copy_plan_status,copy_notes
ryderwear_female_nkd_leggings_v_high_waisted_scrunch,NKD Scrunch V High-Waisted Leggings,NKD,Leggings,recoverable_review,likely_source_family_match,low-medium,Women/NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/nkd/bottoms/leggings/rise/high-waisted/scrunch/black,5,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_nkd_leggings_v_full_length_scrunch,NKD Scrunch V Leggings,NKD,Leggings,recoverable_review,multiple_possible_source_families,low,Women/NKD/Bottoms/Leggings/Construction/V/Scrunch/Banner/Stonewash,01-2023_Collection-Page_Banner-Desktop_2680x.webp,1,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/v/scrunch/banner/stonewash,1,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,NKD Scrunch V Pocket Leggings,NKD,Leggings,recoverable_review,multiple_possible_source_families,low,Women/NKD/Bottoms/Leggings/Construction/Pocket/V/Pink_Sugar,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/pocket/v/pink-sugar,5,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_nkd_shorts_v_pocket_scrunch,NKD Scrunch V Pocket Shorts,NKD,Shorts,recoverable_review,likely_source_family_match,low-medium,Women/NKD/Bottoms/Shorts/Construction/Pocket/V/Scrunch/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black,5,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_nkd_shorts_v_scrunch,NKD Scrunch V Shorts,NKD,Shorts,recoverable_review,multiple_possible_source_families,low,Plus-Size/Women/NKD/High-Waisted_Scrunch_Shorts/Mocha,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/plus-size/women/nkd/high-waisted-scrunch-shorts/mocha,6,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,NKD Scrunch V Halter Bra,NKD,Sports_Bra,recoverable_review,multiple_possible_source_families,low,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Scrunch/Bra/Espresso,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp | 07.webp,7,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso,7,excluded_duplicate_destination_collision,Excluded because one or more destination file paths collide with a different model_id.
ryderwear_female_nkd_tank_top_scrunch,NKD Scrunch Halter Tank Top,NKD,Tank_Top,source_needed,likely_source_family_match,low-medium,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Scrunch/Tank/Shelf_Bra/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black,6,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_nkd_bodysuit_v_scrunch,NKD Scrunch Bodysuit,NKD,Bodysuit,source_needed,multiple_possible_source_families,low,Women/NKD/Bodysuit/Construction/Jumpsuit/Fabric/Ultra_Soft/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black,6,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_nkd_leggings_flared_cross_over,NKD Cross Waist Flared Leggings,NKD,Leggings,recoverable_review,likely_source_family_match,low-medium,Women/NKD/Bottoms/Leggings/Construction/Flared/Cross_Waist,01.png | 02.png | 03.png | 04.png | 05.png,5,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist,5,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_nkd_sports_bra_elastic_underbust_band_bandeau_strapless_low_support,NKD Bandeau Sports Bra,NKD,Sports_Bra,recoverable_review,likely_source_family_match,low-medium,Women/NKD/Tops/Sports_Bra/Cut/Low_Support/Staples/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/staples/black,6,excluded_duplicate_destination_collision,Excluded because one or more destination file paths collide with a different model_id.
ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support,NKD Knot Sports Bra,NKD,Sports_Bra,recoverable_review,multiple_possible_source_families,low,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Tank/Cross-Over/White,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/cross-over/white,6,excluded_duplicate_destination_collision,Excluded because one or more destination file paths collide with a different model_id.
ryderwear_female_nkd_sports_bra_elastic_underbust_band_one_shoulder_asymmetrical_back_low_support,NKD One Shoulder Sports Bra,NKD,Sports_Bra,recoverable_review,multiple_possible_source_families,low,Women/NKD/Tops/Sports_Bra/Cut/Low_Support/Staples/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/staples/black,6,excluded_duplicate_destination_collision,Excluded because one or more destination file paths collide with a different model_id.
ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,NKD Underwire Keyhole Sports Bra,NKD,Sports_Bra,recoverable_review,multiple_possible_source_families,low,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Scrunch/Bra/Espresso,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp | 07.webp,7,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso,7,excluded_duplicate_destination_collision,Excluded because one or more destination file paths collide with a different model_id.
ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,NKD Twist Sports Bra,NKD,Sports_Bra,recoverable_review,multiple_possible_source_families,low,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Tank/Cross-Over/White,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/cross-over/white,6,excluded_duplicate_destination_collision,Excluded because one or more destination file paths collide with a different model_id.
ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_light_support,NKD Embody Sports Crop,NKD,Sports_Bra,recoverable_review,likely_source_family_match,medium,Women/NKD/Tops/Sports_Bra/Cut/Light_Support/Embody/Blue,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,5,excluded_duplicate_destination_collision,Excluded because one or more destination file paths collide with a different model_id.
ryderwear_female_nkd_long_sleeve_half_zip,NKD Half Zip Long Sleeve Top,NKD,Long_Sleeve,source_needed,likely_source_family_match,low-medium,Women/NKD/Tops/Long_Sleeve/Half_Zip/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black,5,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_nkd_tank_top_square_neck,NKD Square Neck Top,NKD,Tank_Top,source_needed,multiple_possible_source_families,low,Women/NKD/Tops/Sports_Bra/Cut/Crop_Top/White,01.webp | 02.webp | 03.jpg | 04.webp | 05.webp,5,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white,5,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_nkd_t_shirt,NKD Tee,NKD,T_Shirt,recoverable_review,needs_manual_mapping,low,Women/NKD/Tops/Tee/Slight_Cropped/Chocolate,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate,6,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_nkd_bodysuit_underwire_keyhole_cross_over_back_scrunch,NKD Underwire Keyhole Bodysuit,NKD,Bodysuit,source_needed,likely_source_family_match,low-medium,Women/NKD/Bodysuit/Construction/Underwire/Keyhole/Sports_Bra/Vanilla,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla,6,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_nkd_sports_bra_elastic_underbust_band_square_neck_straight_back_light_support,NKD Core Bra,NKD,Sports_Bra,recoverable_review,multiple_possible_source_families,low,Women/NKD/Tops/Sports_Bra/Cut/Light_Support/Embody/Blue,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,5,excluded_duplicate_destination_collision,Excluded because one or more destination file paths collide with a different model_id.
ryderwear_female_rib_seamless_sports_bra_v_neck_halter_low_support,Rib Seamless Halter Sports Bra,Rib_Seamless,Sports_Bra,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Cut/Low_Support/__Collection/Sculpt/Halter_Bra/Azure,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/cut/low-support/--collection/sculpt/halter-bra/azure,6,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_rib_seamless_t_shirt,Rib Seamless T-Shirt,Rib_Seamless,T_Shirt,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Tops/Tee/Cropped/Fabric/Ribbed/Seamless/__Collection/Rib/Cobalt,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/tops/tee/cropped/fabric/ribbed/seamless/--collection/rib/cobalt,6,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_rib_seamless_leggings_waistband_scrunch,Rib Seamless Scrunch Leggings,Rib_Seamless,Leggings,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Bottoms/Leggings/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/bottoms/leggings/fabric/ribbed/scrunch/seamless/--collection/rib/black,6,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_rib_seamless_shorts_waistband_scrunch,Rib Seamless Scrunch Shorts,Rib_Seamless,Shorts,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Bottoms/Shorts/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib/Black,01.jpg | 01.png | 02.png | 02.webp | 03.jpg | 03.png | 04.png | 04.webp | 05.png | 05.webp,10,images/brands/ryderwear/women/non-nkd/bottoms/shorts/fabric/ribbed/scrunch/seamless/--collection/rib/black,10,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.
ryderwear_female_rib_seamless_sports_bra_scoop_neck_halter_light_support,Lift Rib Seamless Halter Sports Bra,Rib_Seamless,Sports_Bra,recoverable_review,likely_source_family_match,medium,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Fabric/Rib/__Collection/Lift/Black,01.webp | 02.jpg | 03.webp | 04.webp,4,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift/black,4,excluded_duplicate_destination_collision,Excluded because one or more destination file paths collide with a different model_id.
ryderwear_female_lift_2_0_sports_bra_rib_waistband_light_support,Lift 2.0 Seamless Sports Bra,Lift_2_0,Sports_Bra,recoverable_review,likely_source_family_match,low-medium,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Fabric/Rib/__Collection/Lift/Black,01.webp | 02.jpg | 03.webp | 04.webp,4,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift/black,4,excluded_duplicate_destination_collision,Excluded because one or more destination file paths collide with a different model_id.
ryderwear_female_lift_2_0_leggings_foldover_ribbed_high_waisted,Lift 2.0 BBL Seamless High-Waisted Leggings,Lift_2_0,Leggings,recoverable_review,multiple_possible_source_families,low,Women/Non-NKD/Bottoms/Leggings/Construction/Scrunch/Invisible/Seamless/__Collection/Lift_2.0/BBL/Berry,01.webp | 02.webp | 03.webp | 04.webp,4,images/brands/ryderwear/women/non-nkd/bottoms/leggings/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/berry,4,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_lift_2_0_shorts_foldover_ribbed_high_waisted,Lift 2.0 BBL Seamless High-Waisted Shorts,Lift_2_0,Shorts,recoverable_review,multiple_possible_source_families,low,Women/Non-NKD/Bottoms/Shorts/Construction/Scrunch/Invisible/Seamless/__Collection/Lift_2.0/BBL/Apple_Green,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/apple-green,5,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_contour_sports_bra_rib_waistband_light_support,Contour Halter Sports Bra,Contour,Sports_Bra,recoverable_review,likely_source_family_match,low-medium,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Fabric/Ultra_Soft/__Collection/Contour/Marl/Berry,01.png | 02.png | 03.png | 04.png,4,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/ultra-soft/--collection/contour/marl/berry,4,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_contour_shorts_foldover_ribbed_high_waisted,Contour Seamless High-Waisted Shorts,Contour,Shorts,recoverable_review,likely_source_family_match,low-medium,Women/Non-NKD/Bottoms/Shorts/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/Marl/Black,01.png | 02.png | 03.png | 04.png | 05.png | 06.png,6,images/brands/ryderwear/women/non-nkd/bottoms/shorts/fabric/ultra-soft/seamless/scrunch/invisible/--collection/contour/high-waisted/marl/black,6,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_contour_leggings_foldover_ribbed_high_waisted,Contour Seamless High-Waisted Leggings,Contour,Leggings,recoverable_review,multiple_possible_source_families,low,Women/Non-NKD/Bottoms/Leggings/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/Marl/Berry,01.png | 02.png | 03.png | 04.png | 05.png,5,images/brands/ryderwear/women/non-nkd/bottoms/leggings/fabric/ultra-soft/seamless/scrunch/invisible/--collection/contour/high-waisted/marl/berry,5,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_contour_track_pants_brushed_fleece_elastic_waistband_ankle_cuff,Contour Track Pants,Contour,Track_Pants,source_needed,multiple_possible_source_families,low,Women/Non-NKD/Bottoms/Track_Pants/Fabric/Ultra_Soft/High_Waisted/__Collection/Contour/Black,01.webp | 02.jpg | 03.webp | 04.jpg | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/bottoms/track-pants/fabric/ultra-soft/high-waisted/--collection/contour/black,6,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_sculpt_sports_bra_rib_waistband_low_support,Sculpt Seamless Halter Sports Bra,Sculpt,Sports_Bra,recoverable_review,likely_source_family_match,medium,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Cut/Low_Support/__Collection/Sculpt/Halter_Bra/Azure,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/cut/low-support/--collection/sculpt/halter-bra/azure,6,excluded_duplicate_destination_collision,Excluded because one or more destination file paths collide with a different model_id.
ryderwear_female_sculpt_shorts_foldover_ribbed_high_waisted_scrunch,Sculpt Seamless High-Waisted Shorts,Sculpt,Shorts,recoverable_review,likely_source_family_match,medium,Women/Non-NKD/Bottoms/Shorts/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Sculpt/Azure,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/bottoms/shorts/rise/high-waisted/scrunch/minimal/seamless/--collection/sculpt/azure,6,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
ryderwear_female_sculpt_leggings_foldover_ribbed_high_waisted_scrunch,Sculpt Seamless High-Waisted Leggings,Sculpt,Leggings,recoverable_review,likely_source_family_match,medium,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Sculpt/Azure,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/bottoms/leggings/rise/high-waisted/scrunch/minimal/seamless/--collection/sculpt/azure,6,ready_to_copy,Provisionally accepted mapping ready for controlled local copy.
