model_id,itemName,collection,subCategory,queue_status,mapping_status,mapping_confidence,source_terminal_folder,source_image_files,source_file_count,proposed_project_image_path,destination_file_count,copy_plan_status,copy_notes,exception_reason
ryderwear_female_nkd_tank_top_scrunch,NKD Scrunch Halter Tank Top,NKD,Tank_Top,source_needed,likely_source_family_match,low-medium,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Scrunch/Tank/Shelf_Bra/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black,6,excluded_no_source_family,Excluded because no usable source folder family is available in current worksheet context.,excluded_no_source_family
ryderwear_female_nkd_bodysuit_v_scrunch,NKD Scrunch Bodysuit,NKD,Bodysuit,source_needed,multiple_possible_source_families,low,Women/NKD/Bodysuit/Construction/Jumpsuit/Fabric/Ultra_Soft/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/nkd/bodysuit/construction/jumpsuit/fabric/ultra-soft/black,6,excluded_no_source_family,Excluded because no usable source folder family is available in current worksheet context.,excluded_no_source_family
ryderwear_female_nkd_long_sleeve_half_zip,NKD Half Zip Long Sleeve Top,NKD,Long_Sleeve,source_needed,likely_source_family_match,low-medium,Women/NKD/Tops/Long_Sleeve/Half_Zip/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,5,images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black,5,excluded_no_source_family,Excluded because no usable source folder family is available in current worksheet context.,excluded_no_source_family
ryderwear_female_nkd_tank_top_square_neck,NKD Square Neck Top,NKD,Tank_Top,source_needed,multiple_possible_source_families,low,Women/NKD/Tops/Sports_Bra/Cut/Crop_Top/White,01.webp | 02.webp | 03.jpg | 04.webp | 05.webp,5,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/crop-top/white,5,excluded_no_source_family,Excluded because no usable source folder family is available in current worksheet context.,excluded_no_source_family
ryderwear_female_nkd_bodysuit_underwire_keyhole_cross_over_back_scrunch,NKD Underwire Keyhole Bodysuit,NKD,Bodysuit,source_needed,likely_source_family_match,low-medium,Women/NKD/Bodysuit/Construction/Underwire/Keyhole/Sports_Bra/Vanilla,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla,6,excluded_no_source_family,Excluded because no usable source folder family is available in current worksheet context.,excluded_no_source_family
ryderwear_female_rib_seamless_sports_bra_v_neck_halter_low_support,Rib Seamless Halter Sports Bra,Rib_Seamless,Sports_Bra,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Cut/Low_Support/__Collection/Sculpt/Halter_Bra/Azure,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/cut/low-support/--collection/sculpt/halter-bra/azure,6,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.,excluded_already_grandfathered
ryderwear_female_rib_seamless_t_shirt,Rib Seamless T-Shirt,Rib_Seamless,T_Shirt,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Tops/Tee/Cropped/Fabric/Ribbed/Seamless/__Collection/Rib/Cobalt,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/tops/tee/cropped/fabric/ribbed/seamless/--collection/rib/cobalt,6,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.,excluded_already_grandfathered
ryderwear_female_rib_seamless_leggings_waistband_scrunch,Rib Seamless Scrunch Leggings,Rib_Seamless,Leggings,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Bottoms/Leggings/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/bottoms/leggings/fabric/ribbed/scrunch/seamless/--collection/rib/black,6,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.,excluded_already_grandfathered
ryderwear_female_rib_seamless_shorts_waistband_scrunch,Rib Seamless Scrunch Shorts,Rib_Seamless,Shorts,grandfather,already_mapped_or_grandfathered,low,Women/Non-NKD/Bottoms/Shorts/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib/Black,01.jpg | 01.png | 02.png | 02.webp | 03.jpg | 03.png | 04.png | 04.webp | 05.png | 05.webp,10,images/brands/ryderwear/women/non-nkd/bottoms/shorts/fabric/ribbed/scrunch/seamless/--collection/rib/black,10,excluded_already_grandfathered,Excluded from execution plan because worksheet marks this row as already mapped/grandfathered.,excluded_already_grandfathered
ryderwear_female_contour_track_pants_brushed_fleece_elastic_waistband_ankle_cuff,Contour Track Pants,Contour,Track_Pants,source_needed,multiple_possible_source_families,low,Women/Non-NKD/Bottoms/Track_Pants/Fabric/Ultra_Soft/High_Waisted/__Collection/Contour/Black,01.webp | 02.jpg | 03.webp | 04.jpg | 05.webp | 06.webp,6,images/brands/ryderwear/women/non-nkd/bottoms/track-pants/fabric/ultra-soft/high-waisted/--collection/contour/black,6,excluded_no_source_family,Excluded because no usable source folder family is available in current worksheet context.,excluded_no_source_family
