brand,gender,itemName,itemName_fully_derived,model_id,product_domain,collection,model_family,subCategory,fabric,construction,seamless,scrunchFlag,invisibleFlag,neckline,strap_configuration,support_level,rise,length,variant,usage_category,usage_subtype,categoryName,subCategoryParent,ageGroup,sizeType,fitStyle,activityTags,price,salePrice,description,featured,images,thumbnails_json,external_item_id,campaign_or_series,altText,ariaText,videoAltText,videos,images2,CropAllowed,db_itemId,assignment_source,_images_helper_normalize
Adidas,Boys,Marvel Spider-Man: Tracksuit,Yes,adidas_boys_marvel spider-man_tracksuit_3-stripes,Apparel,Marvel Spider-Man,,Tracksuit,,,,,,,,,,,3-Stripes,,,Set,Set,Kids,Standard,Regular Fit,"casual,playtime,fanwear",79.99,64.99,"Swing into action with the ultimate superhero outfit from adidas x Marvel. This 5-piece set includes a bold Spider-Man t-shirt, matching trainers with flashing lights, and the full Spider-Man tracksuit. With slick Spidey graphics, smooth fabric, and matching top and pants, the tracksuit is perfect for play, sports, or showing off your superhero style all day long.",,images/brands/adidas/kids/boys/marvel-spider_man/tracksuit/,images/brands/adidas/kids/boys/marvel-spider_man/tracksuit/01.png;images/brands/adidas/kids/boys/marvel-spider_man/tracksuit/02.png;images/brands/adidas/kids/boys/marvel-spider_man/tracksuit/03.png;images/brands/adidas/kids/boys/marvel-spider_man/tracksuit/04.png,adidas-marvel-spiderman-tracksuit-3-stripes,adidas_marvel_spiderman,"A young boy and girl wearing matching Adidas x Marvel Spider-Man black tracksuits with bold red, white, and Spider-Man graphics. The outfits feature Adidas 3-Stripes down the sleeves and legs, Marvel logos, and a large Spider-Man graphic on the back of the jackets.","Adidas x Marvel Spider-Man tracksuit set modeled by a young boy and girl. Both wear matching black jackets and pants with Adidas 3-Stripes, red Marvel branding, and an eye-catching Spider-Man illustration on the back. The set blends sporty Tiro style with superhero attitude, designed for active kids who love bold looks.",,,,Yes,1,custom,
Adidas,Boys,Marvel Spider-Man: T-Shirt,Yes,adidas_boys_marvel spider-man_t_shirt,Apparel,Marvel Spider-Man,,T_Shirt,,,,,,,,,,,NULL,,,Set,,Kids,Standard,Regular Fit,"casual,playtime,fanwear",34.99,29.99,"The adidas x Marvel Spider-Man t-shirt is bursting with color and comic book heroes. With Spidey, Iron Man, Hulk, and more all in one action-packed design, it’s perfect for kids who want to wear their favorite heroes with pride—on the playground or anywhere adventure calls.",,images/brands/adidas/kids/boys/marvel-spider_man/t-shirt/,images/brands/adidas/kids/boys/marvel-spider_man/t-shirt/01.png;images/brands/adidas/kids/boys/marvel-spider_man/t-shirt/02.png,adidas-marvel-spiderman-t-shirt,adidas_marvel_spiderman,,,,,,Yes,2,custom,
Adidas,Boys,Marvel Spider-Man: Light-Up Trainers,Yes,adidas_boys_marvel spider-man_kid_shoes_spider-man_light-up,Footwear,Marvel Spider-Man,Spider-Man,Kid_Shoes,,,,,,,,,,,Light-Up,,,Set,,Kids,Standard,Regular Fit,"casual,playtime,fanwear",59.99,49.99,"Complete your superhero look with light-up Spider-Man trainers made for fun on the move. Featuring bold web graphics and bright flashing soles, these comfy kicks are built for playtime, running, and showing off your Spidey style with every step.",,images/brands/adidas/kids/boys/marvel-spider_man/trainers-light_up/,images/brands/adidas/kids/boys/marvel-spider_man/trainers-light_up/01.png,adidas-marvel-spiderman-light-up-trainers,adidas_marvel_spiderman,,,,,,No,3,custom,
Adidas,Boys,Marvel Spider-Man: Backpack,Yes,adidas_boys_marvel spider-man_backpack,Non-Wearables,Marvel Spider-Man,,Backpack,,,,,,,,,,,NULL,,,Set,,Kids,Standard,Regular Fit,"school,playtime,fanwear,collectible",46,23,"Complete your superhero set with this bold adidas x Marvel Spider-Man backpack. Featuring a swinging Spidey patch and oversized adidas logo, it’s the perfect carryall for school, sport, or daily missions. Sturdy straps, zip compartments, and superhero attitude—this backpack delivers both style and utility for kids ready to save the day.",,images/brands/adidas/kids/boys/marvel-spider_man/backpack/,images/brands/adidas/kids/boys/marvel-spider_man/backpack/01.png;images/brands/adidas/kids/boys/marvel-spider_man/backpack/02.png;images/brands/adidas/kids/boys/marvel-spider_man/backpack/03.png;images/brands/adidas/kids/boys/marvel-spider_man/backpack/04.png,adidas-marvel-spiderman-backpack,adidas_marvel_spiderman,Adidas Marvel Spider-Man kids backpack in black with a red swinging Spidey patch and white adidas logo on the front pocket.,Marvel Spider-Man backpack for kids featuring a bold swinging Spidey patch and oversized adidas logo on a black zippered backpack.,,,,No,4,custom,
Adidas,Male,Campus 00s,Yes,adidas_male_originals_sneakers_campus,Footwear,Originals,Campus,Sneakers,,,,,,,,,,,NULL,,,Shoes,Shoes,Adults,Standard,Regular Fit,"casual,lifestyle,streetwear,skateboarding",170,64,"Add a skate-inspired shoe to your rotation with these Campus 00s from adidas Originals. In a Dark Grey suede upper with White 3-Stripes, they blend oversized ’80s OG styling with modern comfort: chunky laces, padded collar, cushioning midsole and a grippy gum rubber outsole.",,images/brands/adidas/men/campus_sneakers/,images/brands/adidas/men/campus_sneakers/01.png;images/brands/adidas/men/campus_sneakers/02.png;images/brands/adidas/men/campus_sneakers/03.png;images/brands/adidas/men/campus_sneakers/04.png;images/brands/adidas/men/campus_sneakers/05.png;images/brands/adidas/men/campus_sneakers/06.png,adidas-originals-campus-00s,adidas_originals,"Six images of the adidas Originals Campus 00s in Dark Grey: side profile, three-quarter front, rear heel tab, suede/stripe detail, top-down lace view, and outsole angle.","Six images of the adidas Originals Campus 00s in Dark Grey: side profile, three-quarter front, rear heel tab, suede/stripe detail, top-down lace view, and outsole angle.",,,,No,5,custom,
Adidas,Male,Poly Linear Full-Zip Hoodie and Pants,No,adidas_male_tracksuit_poly linear,Apparel,NULL,,Tracksuit,,,,,,,,,,,Poly Linear,,,Set,Set,Adults,Standard,Regular Fit,"athleisure,training",70,59.5,"Step up your street style in this Adidas Poly Linear Tracksuit, combining a sleek full-zip hoodie with tapered pants for all-day comfort and movement. The shiny poly knit fabric offers a smooth, athletic finish, while bold linear adidas branding down the leg and sleeve makes a clean, confident statement whether you're warming up, working out, or chilling out.",,images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/,images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/01.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/02.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/03.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/04.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/05.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/06.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/07.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/08.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/09.png,adidas-poly-linear-full-zip-hoodie-pants,core,"Man wearing full Adidas Poly Linear tracksuit in blue, seated casually with hoodie and joggers featuring oversized logo.","Model in blue Adidas tracksuit with full-zip hoodie and joggers, showing bold branding on sleeves and legs, sitting in relaxed pose.",,,,Yes,6,custom,
Adidas,Male,Poly Linear Full-Zip Hoodie,No,adidas_male_hoodie_poly linear,Apparel,NULL,,Hoodie,,,,,,,,,,,Poly Linear,,,Tops,Tops,,,,,,,,,,,,,,,,,,,61,,
Adidas,Male,Poly Linear Track Pants,Yes,adidas_male_track_pants_poly linear,Apparel,NULL,,Track_Pants,,,,,,,,,,,Poly Linear,,,Pants,Pants,,,,,,,,,,,,,,,,,,,62,,
Adidas,Male,Running Tee,Yes,adidas_male_t_shirt_3-stripes,Apparel,NULL,,T_Shirt,,,,,,,,,,,3-Stripes,,,Tops,Tops,Adults,Standard,Regular Fit,"running,training",34.99,27.99,"Stay cool, dry, and in motion with the Adidas 3-Stripes Running Tee. Lightweight and breathable with signature stripes down the shoulders, this performance tee is made for speed. Sweat-wicking AEROREADY fabric helps keep you focused from start to finish.",,images/brands/adidas/men/3-stripes/running_tee/,images/brands/adidas/men/3-stripes/running_tee/01.png,adidas-running-tee-3-stripes,adidas_3_stripes,Man running in white Adidas 3-Stripes Running Tee with black shoulder stripes and light grey shorts.,"Male athlete in motion wearing Adidas 3-Stripes white running tee, emphasizing lightweight fit and moisture-wicking design.",,,,Yes,7,custom,
Adidas,Female,Flared Leggings,Yes,adidas_female_leggings_3-stripes,Apparel,NULL,,Leggings,,,,,,,,,,,3-Stripes,,,Pants,Pants,Adults,Standard,Slim Fit,"yoga,studio,athleisure",69.99,55.99,"Throwback meets street chic in these Adidas 3-Stripes flared leggings. The sleek silhouette hugs your shape while the retro-inspired flare adds instant attitude. Made for movement but styled for the spotlight, they deliver that iconic original look and energy from every angle.",,images/brands/adidas/women/3-stripes/flared_leggings/,images/brands/adidas/women/3-stripes/flared_leggings/01.png;images/brands/adidas/women/3-stripes/flared_leggings/02.png,adidas-flared-leggings-3-stripes,adidas_3_stripes,"Woman posing in black Adidas flared leggings with white 3-Stripes down the sides, paired with matching crop top.","Model styled in retro-inspired Adidas flared leggings and bandeau crop top, showcasing sporty yet fashion-forward silhouette.",,,,Yes,8,course,
