itemId,itemName,brand,external_item_id,db_itemId,current_images,current_chosen_image,current_thumbnails_json,current_hero_image,productdb_match_status,prior_plan_status,suspected_reason_missing_images,candidate_source_folder_or_path,recommended_action,remediation_notes
134,Hyperglam Leggings,Adidas,adidas_female_hyperglam_leggings_3-stripes,134,,,,,matched_inactive_no_image_fields,not_in_ryderwear_batch2_workflow,adidas_row_outside_ryderwear_copy_pipeline,no_confirmed_project_path_under_images_brands,needs_new_image_source,"Adidas-specific source discovery needed; not present in Ryderwear Batch 2 plans or audits."
135,Hyperglam Long Sleeve Crop Top,Adidas,adidas_female_hyperglam_crop_top_3-stripes,135,,,,,matched_inactive_no_image_fields,not_in_ryderwear_batch2_workflow,adidas_row_outside_ryderwear_copy_pipeline,no_confirmed_project_path_under_images_brands,needs_new_image_source,"Adidas-specific source discovery needed; not present in Ryderwear Batch 2 plans or audits."
136,Poly Linear Full-Zip Hoodie,Adidas,adidas_male_hoodie_poly linear,136,,,,,matched_inactive_no_image_fields,not_in_ryderwear_batch2_workflow,adidas_row_outside_ryderwear_copy_pipeline,no_confirmed_project_path_under_images_brands,needs_new_image_source,"Adidas-specific source discovery needed; not present in Ryderwear Batch 2 plans or audits."
137,Poly Linear Track Pants,Adidas,adidas_male_track_pants_poly linear,137,,,,,matched_inactive_no_image_fields,not_in_ryderwear_batch2_workflow,adidas_row_outside_ryderwear_copy_pipeline,no_confirmed_project_path_under_images_brands,needs_new_image_source,"Adidas-specific source discovery needed; not present in Ryderwear Batch 2 plans or audits."
138,Activate Sports Bra,Ryderwear,ryderwear_female_activate_sports_bra_twist,138,,,,,matched_inactive_no_image_fields,excluded_duplicate_destination_collision,duplicate_destination_collision_blocked_copy_and_follow_on_updates,Women/Non-NKD/Tops/Sports_Bra/Cut/Twist/__Collection/Activate/Black,review_duplicate_collision,"Resolve model-to-folder collision in copy-plan exception list before any image-field planning."
153,Lift 2.0 Seamless Sports Bra,Ryderwear,ryderwear_female_lift_2_0_sports_bra_rib_waistband_light_support,153,,,,,matched_inactive_no_image_fields,excluded_duplicate_destination_collision,duplicate_destination_collision_blocked_copy_and_follow_on_updates,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Fabric/Rib/__Collection/Lift/Black,review_duplicate_collision,"Potential shared source family with other Lift/Rib records; disambiguate ownership first."
154,Lift Rib Seamless Halter Sports Bra,Ryderwear,ryderwear_female_rib_seamless_sports_bra_scoop_neck_halter_light_support,154,,,,,matched_inactive_no_image_fields,excluded_duplicate_destination_collision,duplicate_destination_collision_blocked_copy_and_follow_on_updates,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Fabric/Rib/__Collection/Lift/Black,review_duplicate_collision,"Potential shared source family with Lift 2.0 row; confirm distinct product mapping before import."
157,NKD Bandeau Sports Bra,Ryderwear,ryderwear_female_nkd_sports_bra_elastic_underbust_band_bandeau_strapless_low_support,157,,,,,matched_inactive_no_image_fields,excluded_duplicate_destination_collision,duplicate_destination_collision_blocked_copy_and_follow_on_updates,Women/NKD/Tops/Sports_Bra/Cut/Low_Support/Staples/Black,review_duplicate_collision,"Collision indicates destination overlap with another model_id; requires manual collision resolution."
158,NKD Core Bra,Ryderwear,ryderwear_female_nkd_sports_bra_elastic_underbust_band_square_neck_straight_back_light_support,158,,,,,matched_inactive_no_image_fields,excluded_duplicate_destination_collision,duplicate_destination_collision_blocked_copy_and_follow_on_updates,Women/NKD/Tops/Sports_Bra/Cut/Light_Support/Embody/Blue,review_duplicate_collision,"Likely paired collision with NKD Embody Sports Crop; resolve canonical folder assignment."
160,NKD Embody Sports Crop,Ryderwear,ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_light_support,160,,,,,matched_inactive_no_image_fields,excluded_duplicate_destination_collision,duplicate_destination_collision_blocked_copy_and_follow_on_updates,Women/NKD/Tops/Sports_Bra/Cut/Light_Support/Embody/Blue,review_duplicate_collision,"Likely paired collision with NKD Core Bra; resolve canonical folder assignment."
162,NKD Knot Sports Bra,Ryderwear,ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support,162,,,,,matched_inactive_no_image_fields,excluded_duplicate_destination_collision,duplicate_destination_collision_blocked_copy_and_follow_on_updates,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Tank/Cross-Over/White,review_duplicate_collision,"Shared path semantics with other cross-over records; collision review required."
163,NKD One Shoulder Sports Bra,Ryderwear,ryderwear_female_nkd_sports_bra_elastic_underbust_band_one_shoulder_asymmetrical_back_low_support,163,,,,,matched_inactive_no_image_fields,excluded_duplicate_destination_collision,duplicate_destination_collision_blocked_copy_and_follow_on_updates,Women/NKD/Tops/Sports_Bra/Cut/Low_Support/Staples/Black,review_duplicate_collision,"Destination path overlaps other Staples entries; resolve model ownership before mapping."
166,NKD Scrunch V Halter Bra,Ryderwear,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,166,,,,,matched_inactive_no_image_fields,excluded_duplicate_destination_collision,duplicate_destination_collision_blocked_copy_and_follow_on_updates,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Scrunch/Bra/Espresso,review_duplicate_collision,"Shared destination path family with underwire/keyhole row; collision adjudication needed."
168,NKD Scrunch V Leggings,Ryderwear,ryderwear_female_nkd_leggings_v_full_length_scrunch,168,,,,,matched_inactive_no_image_fields,flagged_suspicious_mapping_exclusion,copy_plan_ready_but_excluded_from_sql_due_to_banner_campaign_asset,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/v/scrunch/banner/stonewash,review_suspicious_mapping_exclusion,"Suspicious-mapping audit flags banner/collection-page asset; require non-marketing product image remap."
