model_id,itemName,collection,subCategory,db_itemId,images,status,candidate_confidence,likely_source_folders,flags,primary_risk_reason,recommended_review_action
ryderwear_female_nkd_leggings_v_high_waisted_scrunch,NKD Scrunch V High-Waisted Leggings,NKD,Leggings,92,,inactive_or_missing_image_fields,medium,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-icon-leggings-cross-over-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-honeycomb-leggings-foldover-high-waisted-full-length-scrunch/,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation
ryderwear_female_nkd_leggings_v_full_length_scrunch,NKD Scrunch V Leggings,NKD,Leggings,93,,inactive_or_missing_image_fields,medium,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-icon-leggings-cross-over-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-honeycomb-leggings-foldover-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation
ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,NKD Scrunch V Pocket Leggings,NKD,Leggings,94,,inactive_or_missing_image_fields,medium,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-icon-leggings-cross-over-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-honeycomb-leggings-foldover-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation
ryderwear_female_nkd_shorts_v_pocket_scrunch,NKD Scrunch V Pocket Shorts,NKD,Shorts,95,,inactive_or_missing_image_fields,medium,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-icon-shorts-cross-over-high-waisted-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation
ryderwear_female_nkd_shorts_v_scrunch,NKD Scrunch V Shorts,NKD,Shorts,96,,inactive_or_missing_image_fields,medium,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-icon-shorts-cross-over-high-waisted-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation
ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,NKD Scrunch V Halter Bra,NKD,Sports_Bra,91,,inactive_or_missing_image_fields,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-v-neck-halter-centre-spine-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation
ryderwear_female_nkd_tank_top_scrunch,NKD Scrunch Halter Tank Top,NKD,Tank_Top,90,,inactive_or_missing_image_fields,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed
ryderwear_female_nkd_bodysuit_v_scrunch,NKD Scrunch Bodysuit,NKD,Bodysuit,89,,inactive_or_missing_image_fields,low,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-icon-shorts-cross-over-high-waisted-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed
ryderwear_female_nkd_leggings_flared_cross_over,NKD Cross Waist Flared Leggings,NKD,Leggings,84,,inactive_or_missing_image_fields,medium,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-icon-leggings-cross-over-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation
ryderwear_female_nkd_sports_bra_elastic_underbust_band_bandeau_strapless_low_support,NKD Bandeau Sports Bra,NKD,Sports_Bra,82,,inactive_or_missing_image_fields,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-v-neck-halter-centre-spine-low-support/,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation
