model_id,db_itemId,itemName,collection,subCategory,batch_classification,operational_batch1_row,current_productdb_images_path,current_path_contract24_alignment,current_path_alignment_notes,readiness_status,readiness_flags,candidate_confidence,prior_candidate_paths,prior_candidate_paths_noncanonical_risk,audit_recommended_action,requires_later_reviewed_migration_plan,migration_planning_notes,grandfather_recommended,source_or_canonical_folder_creation_later
ryderwear_female_nkd_leggings_v_high_waisted_scrunch,92,NKD Scrunch V High-Waisted Leggings,NKD,Leggings,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|candidate_requires_manual_validation,medium,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-icon-leggings-cross-over-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-honeycomb-leggings-foldover-high-waisted-full-length-scrunch/,yes,manual_validation_then_canonical_folder_plan_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_nkd_leggings_v_full_length_scrunch,93,NKD Scrunch V Leggings,NKD,Leggings,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|candidate_requires_manual_validation,medium,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-icon-leggings-cross-over-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-honeycomb-leggings-foldover-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/,yes,manual_validation_then_canonical_folder_plan_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,94,NKD Scrunch V Pocket Leggings,NKD,Leggings,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|candidate_requires_manual_validation,medium,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-icon-leggings-cross-over-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-honeycomb-leggings-foldover-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/,yes,manual_validation_then_canonical_folder_plan_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_nkd_shorts_v_pocket_scrunch,95,NKD Scrunch V Pocket Shorts,NKD,Shorts,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|candidate_requires_manual_validation,medium,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-icon-shorts-cross-over-high-waisted-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/,yes,manual_validation_then_canonical_folder_plan_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_nkd_shorts_v_scrunch,96,NKD Scrunch V Shorts,NKD,Shorts,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|candidate_requires_manual_validation,medium,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-icon-shorts-cross-over-high-waisted-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/,yes,manual_validation_then_canonical_folder_plan_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,91,NKD Scrunch V Halter Bra,NKD,Sports_Bra,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|candidate_requires_manual_validation,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-v-neck-halter-centre-spine-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,yes,manual_validation_then_canonical_folder_plan_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_nkd_tank_top_scrunch,90,NKD Scrunch Halter Tank Top,NKD,Tank_Top,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
ryderwear_female_nkd_bodysuit_v_scrunch,89,NKD Scrunch Bodysuit,NKD,Bodysuit,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-icon-shorts-cross-over-high-waisted-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
ryderwear_female_nkd_leggings_flared_cross_over,84,NKD Cross Waist Flared Leggings,NKD,Leggings,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|candidate_requires_manual_validation,medium,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-icon-leggings-cross-over-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,yes,manual_validation_then_canonical_folder_plan_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_nkd_sports_bra_elastic_underbust_band_bandeau_strapless_low_support,82,NKD Bandeau Sports Bra,NKD,Sports_Bra,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|candidate_requires_manual_validation,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-v-neck-halter-centre-spine-low-support/,yes,manual_validation_then_canonical_folder_plan_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support,87,NKD Knot Sports Bra,NKD,Sports_Bra,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|candidate_requires_manual_validation,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,yes,manual_validation_then_canonical_folder_plan_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_nkd_sports_bra_elastic_underbust_band_one_shoulder_asymmetrical_back_low_support,88,NKD One Shoulder Sports Bra,NKD,Sports_Bra,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,,high,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-stonewash-sports-bra-rib-waistband-v-neck-racerback-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,no,manual_validation_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,101,NKD Underwire Keyhole Sports Bra,NKD,Sports_Bra,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|candidate_requires_manual_validation,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-scoop-neck-racerback-wide-strap-back-cutout-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,yes,manual_validation_then_canonical_folder_plan_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,99,NKD Twist Sports Bra,NKD,Sports_Bra,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|candidate_requires_manual_validation,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,yes,manual_validation_then_canonical_folder_plan_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_light_support,85,NKD Embody Sports Crop,NKD,Sports_Bra,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|candidate_requires_manual_validation,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,yes,manual_validation_then_canonical_folder_plan_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_nkd_long_sleeve_half_zip,86,NKD Half Zip Long Sleeve Top,NKD,Long_Sleeve,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
ryderwear_female_nkd_tank_top_square_neck,97,NKD Square Neck Top,NKD,Tank_Top,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-v-neck-halter-centre-spine-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
ryderwear_female_nkd_t_shirt,98,NKD Tee,NKD,T_Shirt,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|candidate_requires_manual_validation,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,yes,manual_validation_then_canonical_folder_plan_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_nkd_bodysuit_underwire_keyhole_cross_over_back_scrunch,100,NKD Underwire Keyhole Bodysuit,NKD,Bodysuit,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
