model_id,itemName,collection,subCategory,candidate_confidence,flags,primary_risk_reason,recommended_review_action,likely_source_folders,reviewer_decision,approved_source_folder,reject_reason,reviewer_notes,reviewed_by,reviewed_date
ryderwear_female_nkd_leggings_v_high_waisted_scrunch,NKD Scrunch V High-Waisted Leggings,NKD,Leggings,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-icon-leggings-cross-over-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-honeycomb-leggings-foldover-high-waisted-full-length-scrunch/,,,,,,
ryderwear_female_nkd_leggings_v_full_length_scrunch,NKD Scrunch V Leggings,NKD,Leggings,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-icon-leggings-cross-over-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-honeycomb-leggings-foldover-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/,,,,,,
ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,NKD Scrunch V Pocket Leggings,NKD,Leggings,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-icon-leggings-cross-over-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-honeycomb-leggings-foldover-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/,,,,,,
ryderwear_female_nkd_shorts_v_pocket_scrunch,NKD Scrunch V Pocket Shorts,NKD,Shorts,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-icon-shorts-cross-over-high-waisted-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/,,,,,,
ryderwear_female_nkd_shorts_v_scrunch,NKD Scrunch V Shorts,NKD,Shorts,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-icon-shorts-cross-over-high-waisted-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/,,,,,,
ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,NKD Scrunch V Halter Bra,NKD,Sports_Bra,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-v-neck-halter-centre-spine-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,,,,,,
ryderwear_female_nkd_leggings_flared_cross_over,NKD Cross Waist Flared Leggings,NKD,Leggings,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-icon-leggings-cross-over-high-waisted-full-length-scrunch/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,,,,,,
ryderwear_female_nkd_sports_bra_elastic_underbust_band_bandeau_strapless_low_support,NKD Bandeau Sports Bra,NKD,Sports_Bra,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-v-neck-halter-centre-spine-low-support/,,,,,,
ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support,NKD Knot Sports Bra,NKD,Sports_Bra,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,,,,,,
ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,NKD Underwire Keyhole Sports Bra,NKD,Sports_Bra,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-scoop-neck-racerback-wide-strap-back-cutout-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,,,,,,
ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,NKD Twist Sports Bra,NKD,Sports_Bra,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,,,,,,
ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_light_support,NKD Embody Sports Crop,NKD,Sports_Bra,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,,,,,,
ryderwear_female_nkd_t_shirt,NKD Tee,NKD,T_Shirt,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,,,,,,
