itemId,itemName,brand,external_item_id,db_itemId,current_images,current_chosen_image,current_thumbnails_json,current_hero_image,collision_status,duplicate_destination_path,competing_model_ids_or_items,prior_copy_plan_status,prior_exception_reason,candidate_project_folder_or_path,recommended_owner,recommended_action,adjudication_notes
138,Activate Sports Bra,Ryderwear,ryderwear_female_activate_sports_bra_twist,138,,,,,confirmed_duplicate_destination_collision,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/twist/--collection/activate/black,ryderwear_female_momentum_sports_bra_twist,excluded_duplicate_destination_collision,duplicate-destination-collision,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/twist/--collection/activate/black,paired_manual_adjudication,needs_manual_review,Two-model collision group detected; choose canonical owner by model_id/collection semantics before any copy/update.
153,Lift 2.0 Seamless Sports Bra,Ryderwear,ryderwear_female_lift_2_0_sports_bra_rib_waistband_light_support,153,,,,,confirmed_duplicate_destination_collision,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift/black,ryderwear_female_rib_seamless_sports_bra_scoop_neck_halter_light_support,excluded_duplicate_destination_collision,duplicate-destination-collision,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift/black,paired_manual_adjudication,needs_manual_review,Two-model collision group detected; choose canonical owner by model_id/collection semantics before any copy/update.
154,Lift Rib Seamless Halter Sports Bra,Ryderwear,ryderwear_female_rib_seamless_sports_bra_scoop_neck_halter_light_support,154,,,,,confirmed_duplicate_destination_collision,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift/black,ryderwear_female_lift_2_0_sports_bra_rib_waistband_light_support,excluded_duplicate_destination_collision,duplicate-destination-collision,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift/black,paired_manual_adjudication,needs_manual_review,Two-model collision group detected; choose canonical owner by model_id/collection semantics before any copy/update.
157,NKD Bandeau Sports Bra,Ryderwear,ryderwear_female_nkd_sports_bra_elastic_underbust_band_bandeau_strapless_low_support,157,,,,,confirmed_duplicate_destination_collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/staples/black,ryderwear_female_nkd_sports_bra_elastic_underbust_band_one_shoulder_asymmetrical_back_low_support,excluded_duplicate_destination_collision,duplicate-destination-collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/staples/black,paired_manual_adjudication,needs_manual_review,Two-model collision group detected; choose canonical owner by model_id/collection semantics before any copy/update.
158,NKD Core Bra,Ryderwear,ryderwear_female_nkd_sports_bra_elastic_underbust_band_square_neck_straight_back_light_support,158,,,,,confirmed_duplicate_destination_collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_light_support,excluded_duplicate_destination_collision,duplicate-destination-collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,paired_manual_adjudication,needs_manual_review,Two-model collision group detected; choose canonical owner by model_id/collection semantics before any copy/update.
160,NKD Embody Sports Crop,Ryderwear,ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_light_support,160,,,,,confirmed_duplicate_destination_collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,ryderwear_female_nkd_sports_bra_elastic_underbust_band_square_neck_straight_back_light_support,excluded_duplicate_destination_collision,duplicate-destination-collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,paired_manual_adjudication,needs_manual_review,Two-model collision group detected; choose canonical owner by model_id/collection semantics before any copy/update.
162,NKD Knot Sports Bra,Ryderwear,ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support,162,,,,,confirmed_duplicate_destination_collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/cross-over/white,ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,excluded_duplicate_destination_collision,duplicate-destination-collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/cross-over/white,paired_manual_adjudication,needs_manual_review,Two-model collision group detected; choose canonical owner by model_id/collection semantics before any copy/update.
163,NKD One Shoulder Sports Bra,Ryderwear,ryderwear_female_nkd_sports_bra_elastic_underbust_band_one_shoulder_asymmetrical_back_low_support,163,,,,,confirmed_duplicate_destination_collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/staples/black,ryderwear_female_nkd_sports_bra_elastic_underbust_band_bandeau_strapless_low_support,excluded_duplicate_destination_collision,duplicate-destination-collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/staples/black,paired_manual_adjudication,needs_manual_review,Two-model collision group detected; choose canonical owner by model_id/collection semantics before any copy/update.
166,NKD Scrunch V Halter Bra,Ryderwear,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,166,,,,,confirmed_duplicate_destination_collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso,ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,excluded_duplicate_destination_collision,duplicate-destination-collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso,paired_manual_adjudication,needs_manual_review,Two-model collision group detected; choose canonical owner by model_id/collection semantics before any copy/update.
174,NKD Twist Sports Bra,Ryderwear,ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,174,,,,,confirmed_duplicate_destination_collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/cross-over/white,ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support,excluded_duplicate_destination_collision,duplicate-destination-collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/cross-over/white,paired_manual_adjudication,needs_manual_review,Two-model collision group detected; choose canonical owner by model_id/collection semantics before any copy/update.
176,NKD Underwire Keyhole Sports Bra,Ryderwear,ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,176,,,,,confirmed_duplicate_destination_collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,excluded_duplicate_destination_collision,duplicate-destination-collision,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso,paired_manual_adjudication,needs_manual_review,Two-model collision group detected; choose canonical owner by model_id/collection semantics before any copy/update.
