itemId,itemName,external_item_id,current_duplicate_destination_path,competing_model_ids_or_items,collision_group,proposed_destination_path,proposed_path_basis,split_required,confidence,recommended_action,review_notes
138,Activate Sports Bra,ryderwear_female_activate_sports_bra_twist,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/twist/--collection/activate/black,ryderwear_female_momentum_sports_bra_twist,group-1-activate-vs-momentum,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/twist/--collection/activate/twist/black,distinct model identity tokens: activate + twist vs momentum twist competitor; add style leaf to avoid shared destination ambiguity,yes,medium,propose_split_destination,"Keep existing broad lineage, split at style-specific leaf pending human owner confirmation."
153,Lift 2.0 Seamless Sports Bra,ryderwear_female_lift_2_0_sports_bra_rib_waistband_light_support,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift/black,ryderwear_female_rib_seamless_sports_bra_scoop_neck_halter_light_support,group-2-lift-pair,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift-2-0/black,external_item_id explicitly encodes lift_2_0; disambiguate from generic rib seamless halter entry,yes,medium,propose_split_destination,Proposed non-destructive split path for lift-2-0 branch.
154,Lift Rib Seamless Halter Sports Bra,ryderwear_female_rib_seamless_sports_bra_scoop_neck_halter_light_support,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift/black,ryderwear_female_lift_2_0_sports_bra_rib_waistband_light_support,group-2-lift-pair,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/rib-seamless-halter/black,itemName + model tokens indicate rib seamless halter lineage distinct from lift-2-0 family,yes,medium,propose_split_destination,Pair split keeps one path for lift-2-0 and one for rib-seamless-halter.
157,NKD Bandeau Sports Bra,ryderwear_female_nkd_sports_bra_elastic_underbust_band_bandeau_strapless_low_support,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/staples/black,ryderwear_female_nkd_sports_bra_elastic_underbust_band_one_shoulder_asymmetrical_back_low_support,group-3-nkd-staples-cut-split,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/bandeau/black,cut/neckline terms bandeau + strapless indicate distinct product cut from one-shoulder asymmetrical variant,yes,high,propose_split_destination,Strong cut-level separation; avoid over-broad staples folder.
163,NKD One Shoulder Sports Bra,ryderwear_female_nkd_sports_bra_elastic_underbust_band_one_shoulder_asymmetrical_back_low_support,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/staples/black,ryderwear_female_nkd_sports_bra_elastic_underbust_band_bandeau_strapless_low_support,group-3-nkd-staples-cut-split,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/one-shoulder/black,one_shoulder + asymmetrical_back terms indicate different cut than bandeau strapless; split preserves low-support lineage,yes,high,propose_split_destination,Cut-specific split recommended.
158,NKD Core Bra,ryderwear_female_nkd_sports_bra_elastic_underbust_band_square_neck_straight_back_light_support,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_light_support,group-4-core-vs-embody,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/core/blue,itemName identifies core; neckline/back tokens square_neck + straight_back diverge from embody cross-over profile,yes,medium,propose_split_destination,Proposed core branch; maintain light-support hierarchy.
160,NKD Embody Sports Crop,ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_light_support,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,ryderwear_female_nkd_sports_bra_elastic_underbust_band_square_neck_straight_back_light_support,group-4-core-vs-embody,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,existing path already matches embody identity in itemName; keep this as provisional owner while splitting core to separate path,no,medium,keep_existing_destination_owner,Human confirmation still required before any copy/update; ownership remains provisional.
162,NKD Knot Sports Bra,ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/cross-over/white,ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,group-5-knot-vs-twist-cross-over,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/knot/white,knot token is primary style anchor and should not be collapsed into generic cross-over folder,yes,medium,propose_split_destination,Split by explicit style anchors knot vs twist.
174,NKD Twist Sports Bra,ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/cross-over/white,ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support,group-5-knot-vs-twist-cross-over,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/twist/white,itemName supplies twist identity while cross_over is shared secondary trait; split avoids style collision,yes,medium,propose_split_destination,Keep construction/tank hierarchy but split final style node.
166,NKD Scrunch V Halter Bra,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso,ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,group-6-scrunch-v-halter-vs-underwire-keyhole,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch-v-halter/bra/espresso,longline + v_neck + halter identity differs materially from underwire keyhole racerback; needs explicit style branch,yes,medium,propose_split_destination,Use explicit scrunch-v-halter discriminator to avoid broad scrunch merge.
