model_id,itemName,collection,subCategory,queue_status,source_folder_family_candidate,source_colour_folders_available,recommended_display_colour,source_terminal_folder,source_image_files,proposed_project_image_path,mapping_status,mapping_confidence,reviewer_decision,reviewer_notes
ryderwear_female_nkd_leggings_v_high_waisted_scrunch,NKD Scrunch V High-Waisted Leggings,NKD,Leggings,out_of_scope_for_batch_2,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Stonewash/Minimal_Scrunch,Black | Denim_Blue | Dusty_Blue | Lilac | Mint | Petrol | Pink,Black,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Stonewash/Minimal_Scrunch/Black,01.webp | 02.webp | 03.webp | 04.jpg | 05.webp,images/brands/ryderwear/women/non-nkd/bottoms/leggings/rise/high-waisted/scrunch/minimal/seamless/--collection/stonewash/minimal-scrunch/black,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_leggings_v_full_length_scrunch,NKD Scrunch V Leggings,NKD,Leggings,out_of_scope_for_batch_2,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Stonewash/Minimal_Scrunch,Black | Denim_Blue | Dusty_Blue | Lilac | Mint | Petrol | Pink,Black,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Stonewash/Minimal_Scrunch/Black,01.webp | 02.webp | 03.webp | 04.jpg | 05.webp,images/brands/ryderwear/women/non-nkd/bottoms/leggings/rise/high-waisted/scrunch/minimal/seamless/--collection/stonewash/minimal-scrunch/black,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_leggings_v_full_length_pocket_scrunch,NKD Scrunch V Pocket Leggings,NKD,Leggings,out_of_scope_for_batch_2,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Stonewash/Minimal_Scrunch,Black | Denim_Blue | Dusty_Blue | Lilac | Mint | Petrol | Pink,Black,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Stonewash/Minimal_Scrunch/Black,01.webp | 02.webp | 03.webp | 04.jpg | 05.webp,images/brands/ryderwear/women/non-nkd/bottoms/leggings/rise/high-waisted/scrunch/minimal/seamless/--collection/stonewash/minimal-scrunch/black,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_shorts_v_pocket_scrunch,NKD Scrunch V Pocket Shorts,NKD,Shorts,out_of_scope_for_batch_2,Women/NKD/Bottoms/Shorts/Construction/Pocket/V/Scrunch,Black | Dreamy_Blue | Green_Glow | Pink_Sugar,Black,Women/NKD/Bottoms/Shorts/Construction/Pocket/V/Scrunch/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,images/brands/ryderwear/women/nkd/bottoms/shorts/construction/pocket/v/scrunch/black,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_shorts_v_scrunch,NKD Scrunch V Shorts,NKD,Shorts,out_of_scope_for_batch_2,Women/Non-NKD/Bottoms/Shorts/Rise/Legacy/Mini_Mid_Rise/Scrunch/Invisible/__Collection/Sculpt,Black | Chocolate | Cranberry | Deep_Blue | Rosie,Black,Women/Non-NKD/Bottoms/Shorts/Rise/Legacy/Mini_Mid_Rise/Scrunch/Invisible/__Collection/Sculpt/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,images/brands/ryderwear/women/non-nkd/bottoms/shorts/rise/legacy/mini-mid-rise/scrunch/invisible/--collection/sculpt/black,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,NKD Scrunch V Halter Bra,NKD,Sports_Bra,out_of_scope_for_batch_2,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Fabric/Ultra_Soft/__Collection/Contour/Marl,Berry | Black | Chocolate | Forest_Green | Light_Grey | Navy | Sky_Blue | Stone,Berry,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Fabric/Ultra_Soft/__Collection/Contour/Marl/Berry,01.png | 02.png | 03.png | 04.png,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/ultra-soft/--collection/contour/marl/berry,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_tank_top_scrunch,NKD Scrunch Halter Tank Top,NKD,Tank_Top,out_of_scope_for_batch_2,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Scrunch/Tank/Shelf_Bra,Black | Espresso | Khaki,Black,Women/NKD/Tops/Sports_Bra/Cut/Halter/Construction/Scrunch/Tank/Shelf_Bra/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/tank/shelf-bra/black,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_bodysuit_v_scrunch,NKD Scrunch Bodysuit,NKD,Bodysuit,out_of_scope_for_batch_2,Women/Non-NKD/Bodysuit/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib,Black,Black,Women/Non-NKD/Bodysuit/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp | 07.webp | 08.webp,images/brands/ryderwear/women/non-nkd/bodysuit/fabric/ribbed/scrunch/seamless/--collection/rib/black,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_leggings_flared_cross_over,NKD Cross Waist Flared Leggings,NKD,Leggings,out_of_scope_for_batch_2,Women/NKD/Bottoms/Leggings/Construction/Flared,Cross_Waist,Cross_Waist,Women/NKD/Bottoms/Leggings/Construction/Flared/Cross_Waist,01.png | 02.png | 03.png | 04.png | 05.png,images/brands/ryderwear/women/nkd/bottoms/leggings/construction/flared/cross-waist,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_sports_bra_elastic_underbust_band_bandeau_strapless_low_support,NKD Bandeau Sports Bra,NKD,Sports_Bra,out_of_scope_for_batch_2,Women/Non-NKD/Tops/Sports_Bra/Cut/Low_Support/Mini_Bra/Seamless/__Collection/Sculpt,Black | Chocolate | Cranberry | Deep_Blue | Rosie,Black,Women/Non-NKD/Tops/Sports_Bra/Cut/Low_Support/Mini_Bra/Seamless/__Collection/Sculpt/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/low-support/mini-bra/seamless/--collection/sculpt/black,out_of_scope_for_batch_2,low,,
