row_number,db_itemId,model_id,itemName,row_group,field,issue_type,readiness_category,remediation_priority,remediation_owner,remediation_pathway,suggested_admin_action,suggested_admin_ui_area,source_of_truth_note,can_fix_in_admin,frontend_ready,current_publication_recommendation,governance_note
3,2,"adidas_boys_marvel spider-man_t_shirt","Marvel Spider-Man: T-Shirt",linked,altText,blank,admin-remediation-review,high,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,yes,frontend-ready-with-content-followup,"Queue is for planning/review only; does not imply admin editing is currently authorized."
3,2,"adidas_boys_marvel spider-man_t_shirt","Marvel Spider-Man: T-Shirt",linked,ariaText,blank,admin-remediation-review,high,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,yes,frontend-ready-with-content-followup,"Queue is for planning/review only; does not imply admin editing is currently authorized."
4,3,"adidas_boys_marvel spider-man_kid_shoes_spider-man_light-up","Marvel Spider-Man: Light-Up Trainers",linked,altText,blank,admin-remediation-review,high,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,yes,frontend-ready-with-content-followup,"Queue is for planning/review only; does not imply admin editing is currently authorized."
4,3,"adidas_boys_marvel spider-man_kid_shoes_spider-man_light-up","Marvel Spider-Man: Light-Up Trainers",linked,ariaText,blank,admin-remediation-review,high,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,yes,frontend-ready-with-content-followup,"Queue is for planning/review only; does not imply admin editing is currently authorized."
8,,"adidas_male_hoodie_poly linear","Poly Linear Full-Zip Hoodie",likely_new,description,blank,admin-remediation-review,medium,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,no,hold-publication-until-blockers-remediated,"Queue is for planning/review only; does not imply admin editing is currently authorized."
8,,"adidas_male_hoodie_poly linear","Poly Linear Full-Zip Hoodie",likely_new,altText,blank,admin-remediation-review,high,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,no,hold-publication-until-blockers-remediated,"Queue is for planning/review only; does not imply admin editing is currently authorized."
8,,"adidas_male_hoodie_poly linear","Poly Linear Full-Zip Hoodie",likely_new,ariaText,blank,admin-remediation-review,high,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,no,hold-publication-until-blockers-remediated,"Queue is for planning/review only; does not imply admin editing is currently authorized."
9,,"adidas_male_track_pants_poly linear","Poly Linear Track Pants",likely_new,description,blank,admin-remediation-review,medium,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,no,hold-publication-until-blockers-remediated,"Queue is for planning/review only; does not imply admin editing is currently authorized."
9,,"adidas_male_track_pants_poly linear","Poly Linear Track Pants",likely_new,altText,blank,admin-remediation-review,high,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,no,hold-publication-until-blockers-remediated,"Queue is for planning/review only; does not imply admin editing is currently authorized."
9,,"adidas_male_track_pants_poly linear","Poly Linear Track Pants",likely_new,ariaText,blank,admin-remediation-review,high,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,no,hold-publication-until-blockers-remediated,"Queue is for planning/review only; does not imply admin editing is currently authorized."
15,,adidas_female_hyperglam_crop_top_3-stripes,"Hyperglam Long Sleeve Crop Top",likely_new,description,blank,admin-remediation-review,medium,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,no,hold-publication-until-blockers-remediated,"Queue is for planning/review only; does not imply admin editing is currently authorized."
15,,adidas_female_hyperglam_crop_top_3-stripes,"Hyperglam Long Sleeve Crop Top",likely_new,altText,blank,admin-remediation-review,high,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,no,hold-publication-until-blockers-remediated,"Queue is for planning/review only; does not imply admin editing is currently authorized."
15,,adidas_female_hyperglam_crop_top_3-stripes,"Hyperglam Long Sleeve Crop Top",likely_new,ariaText,blank,admin-remediation-review,high,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,no,hold-publication-until-blockers-remediated,"Queue is for planning/review only; does not imply admin editing is currently authorized."
16,,adidas_female_hyperglam_leggings_3-stripes,"Hyperglam Leggings",likely_new,description,blank,admin-remediation-review,medium,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,no,hold-publication-until-blockers-remediated,"Queue is for planning/review only; does not imply admin editing is currently authorized."
16,,adidas_female_hyperglam_leggings_3-stripes,"Hyperglam Leggings",likely_new,altText,blank,admin-remediation-review,high,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,no,hold-publication-until-blockers-remediated,"Queue is for planning/review only; does not imply admin editing is currently authorized."
16,,adidas_female_hyperglam_leggings_3-stripes,"Hyperglam Leggings",likely_new,ariaText,blank,admin-remediation-review,high,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,no,hold-publication-until-blockers-remediated,"Queue is for planning/review only; does not imply admin editing is currently authorized."
39,,ryderwear_female_nkd_leggings_v_high_waisted_scrunch,"NKD Scrunch V High-Waisted Leggings",likely_new,description,blank,admin-remediation-review,medium,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,no,hold-publication-until-blockers-remediated,"Queue is for planning/review only; does not imply admin editing is currently authorized."
39,,ryderwear_female_nkd_leggings_v_high_waisted_scrunch,"NKD Scrunch V High-Waisted Leggings",likely_new,altText,blank,admin-remediation-review,high,admin-content-accessibility,admin-review-governance-aware,"Review and populate field in admin workflow after governance approval.","item content/editor","CSV remains source-of-truth unless future policy changes are approved.",governance-review-required,no,hold-publication-until-blockers-remediated,"Queue is for planning/review only; does not imply admin editing is currently authorized."
